name_ja,english_spoken,chinese_spoken
アイスランド,,
アイルランド,TRUE,
アクロティリ,TRUE,
アシュモア・カルティエ諸島,,
アゼルバイジャン,,
アフガニスタン,,
アメリカ合衆国,TRUE,
アメリカ領ヴァージン諸島,TRUE,
アメリカ領サモア,TRUE,
アラブ首長国連邦,,
アルジェリア,,
アルゼンチン,,
アルバ,,
アルバニア,,
アルメニア,,
アンギラ,TRUE,
アンゴラ,,
アンティグア・バーブーダ,TRUE,
アンドラ,,
イエメン,,
イギリス,TRUE,
イギリス領インド洋地域,,
イギリス領ヴァージン諸島,TRUE,
イスラエル,TRUE,
イタリア,,
イラク,,
イラン,,
インド,TRUE,
インドネシア,,
ウェーク島,,
ウォリス・フツナ,,
ウガンダ,TRUE,
ウクライナ,,
ウズベキスタン,,
ウルグアイ,,
エクアドル,,
エジプト,,
エストニア,,
エスワティニ,TRUE,
エチオピア,,
エリトリア,TRUE,
エルサルバドル,,
オーストラリア,TRUE,
オーストラリア領インド洋地域,,
オーストリア,,
オーランド諸島,,
オマーン,,
オランダ,,
ガーナ,TRUE,
カーボベルデ,,
ガーンジー,TRUE,
ガイアナ,TRUE,
カザフスタン,,
カタール,,
カナダ,TRUE,
ガボン,,
カメルーン,TRUE,
ガンビア,TRUE,
カンボジア,,
ギニア,,
ギニアビサウ,,
キプロス,,
キューバ,,
キュラソー,TRUE,
ギリシャ,,
キリバス,TRUE,
キルギス,,
グアテマラ,,
グアム,TRUE,
グァンタナモ米軍基地,,
クウェート,,
クック諸島,TRUE,
グリーンライン,,
グリーンランド,,
クリッパートン島,,
グレナダ,TRUE,
クロアチア,,
ケイマン諸島,TRUE,
ケニア,TRUE,
コートジボワール,,
コーラル・シー諸島,,
コスタリカ,,
コソボ共和国,,
コモロ,,
コロンビア,,
コンゴ共和国,,
コンゴ民主共和国,,
サウジアラビア,,
サウスジョージア・サウスサンドウィッチ諸島,,
サモア,TRUE,
サン・バルテルミー島,,
サン・マルタン,,
サントメ・プリンシペ,,
ザンビア,TRUE,
サンピエール島・ミクロン島,,
サンマリノ,,
シアチェン氷河,,
シエラレオネ,TRUE,
ジブチ,,
ジブラルタル,TRUE,
ジャージー,TRUE,
ジャマイカ,TRUE,
ジョージア,,
シリア,,
シンガポール,TRUE,TRUE
シント・マールテン,TRUE,
ジンバブエ,TRUE,
スーダン,TRUE,
スイス,,
スウェーデン,,
スカボロー礁,,
スペイン,,
スリナム,,
スリランカ,,
スロバキア,,
スロベニア,,
セーシェル,TRUE,
セネガル,,
セラニャ・バンク,,
セルビア,,
セントクリストファー・ネイビス,TRUE,
セントビンセント・グレナディーン,TRUE,
セントヘレナ,TRUE,
セントルシア,TRUE,
ソマリア,,
ソマリランド,TRUE,
ソロモン諸島,TRUE,
タークス・カイコス諸島,TRUE,
タイ王国,,
タジキスタン,,
タンザニア,TRUE,
チェコ,,
チャド,,
チュニジア,,
チリ,,
ツバル,TRUE,
デケリア,TRUE,
デンマーク,,
トーゴ,,
ドイツ,,
ドミニカ共和国,,
ドミニカ国,TRUE,
トリニダード・トバゴ,TRUE,
トルクメニスタン,,
トルコ,,
トンガ,TRUE,
ナイジェリア,TRUE,
ナウル,TRUE,
ナミビア,TRUE,
ニウエ,TRUE,
ニカラグア,,
ニジェール,,
ニューカレドニア,,
ニュージーランド,TRUE,
ネパール,,
ノーフォーク島,TRUE,
ノルウェー,,
ハード島とマクドナルド諸島,,
バーレーン,,
バイコヌール,,
ハイチ,,
パキスタン,TRUE,
バチカン,,
パナマ,,
バヌアツ,TRUE,
バハマ,TRUE,
パプアニューギニア,TRUE,
バホヌエボ,,
バミューダ諸島,TRUE,
パラオ,TRUE,
パラグアイ,,
バルバドス,TRUE,
パレスチナ,,
ハンガリー,,
バングラデシュ,,
ピトケアン諸島,TRUE,
ビル・タウィール,,
ブータン,,
フィジー,TRUE,
フィリピン,TRUE,
フィンランド,,
プエルトリコ,TRUE,
フェロー諸島,,
フォークランド諸島,TRUE,
ブラジル,,
ブラジレイラ島,,
フランス,,
フランス領ポリネシア,,
フランス領南方・南極地域,,
ブルガリア,,
ブルキナファソ,,
ブルネイ,,
ブルンジ,,
ベトナム,,
ベナン,,
ベネズエラ,,
ベラルーシ,,
ベリーズ,TRUE,
ペルー,,
ベルギー,,
ポーランド,,
ボスニア・ヘルツェゴビナ,,
ボツワナ,TRUE,
ボリビア,,
ポルトガル,,
ホンジュラス,,
マーシャル諸島,TRUE,
マカオ,,TRUE
マダガスカル,,
マラウイ,TRUE,
マリ共和国,,
マルタ,TRUE,
マレーシア,,
マン島,TRUE,
ミクロネシア連邦,TRUE,
ミャンマー,,
メキシコ,,
モーリシャス,TRUE,
モーリタニア,,
モザンビーク,,
モナコ,,
モルディブ,,
モルドバ,,
モロッコ,,
モンゴル国,,
モンテネグロ,,
モントセラト,TRUE,
ヨルダン,,
ラオス,,
ラトビア,,
リトアニア,,
リビア,,
リヒテンシュタイン,,
リベリア,TRUE,
ルーマニア,,
ルクセンブルク,,
ルワンダ,TRUE,
レソト,TRUE,
レバノン,,
ロシア,,
中央アフリカ共和国,,
中華人民共和国,,TRUE
中華民国,,TRUE
北キプロス・トルコ共和国,,
北マケドニア,,
北マリアナ諸島,,
南アフリカ共和国,TRUE,
南スーダン,TRUE,
南パタゴニア氷原,,
南極大陸,,
合衆国領有小離島,TRUE,
大韓民国,,
日本,,
朝鮮民主主義人民共和国,,
東ティモール,,
西サハラ,,
赤道ギニア,,
香港,TRUE,TRUE
