area,word,command,package
food,breakfast,,
food,lunch,,
food,dinner,,
food,supper,,
food,chopsticks,\twemoji{chopsticks},
food,fork,\Fork,cookingsymbols
food,knife,\Knife,cookingsymbols
food,spoon,\Spoon,cookingsymbols
food,gloves,\Gloves,cookingsymbols
food,kettle,\fcKettle,figchild
food,bread,\twemoji{bread},
food,rice,\twemoji{cooked rice},
food,rice ball,\twemoji{rice ball},
food,noodle,\twemoji{steaming bowl},
food,sandwich,\twemoji{sandwich},
food,steak,\twemoji{cut of meat},
food,pizza,\twemoji{pizza},
food,salad,\twemoji{green salad},
food,soup,,
food,egg,\twemoji{egg},
food,cheese,\twemoji{cheese wedge},
food,pie,\twemoji{pie},
food,pancake,\twemoji{pancakes},
food,spaghetti,\twemoji{spaghetti},
food,hamburger,\twemoji{hamburger},
food,hot dog,\twemoji{hot dog},
food,cake,\twemoji{shortcake},
food,cookie,\twemoji{cookie},
food,chocolate,\twemoji{chocolate bar},
food,donut,\twemoji{doughnut},
food,pudding,\twemoji{custard},
food,popcorn,\twemoji{popcorn},
vegetable,avocado,\twemoji{avocado},
vegetable,broccoli,\twemoji{broccoli},
vegetable,cabbage,\fcCabbage,figchild
vegetable,carrot,\twemoji{carrot},
vegetable,corn,\twemoji{ear of corn},
vegetable,eggplant,\twemoji{eggplant},
vegetable,onion,\twemoji{onion},
vegetable,potato,\twemoji{potato},
vegetable,pumpkin,\fcPumpkinA,figchild
vegetable,tomato,\twemoji{tomato},
vegetable,cucumber,\twemoji{cucumber},
vegetable,peanut,\twemoji{peanuts},
fruit,banana,\twemoji{banana},
fruit,bluberry,\twemoji{blueberries},
fruit,kiwi fruit,\twemoji{kiwi fruit},
fruit,lemon,\twemoji{lemon},
fruit,peach,\twemoji{peach},
fruit,pineapple,\twemoji{pineapple},
fruit,apple,\twemoji{red apple},
fruit,strawberry,\twemoji{strawberry},
fruit,orange,\twemoji{tangerine},
fruit,watermelon,\twemoji{watermelon},
fruit,pear,\twemoji{pear},
fruit,grapes,\twemoji{grapes},
animal,ant,\fcAntA,
animal,bear,\bear,tikzlings
animal,cat,\cat,tikzlings
animal,mouse,\mouse,tikzlings
animal,penguin,\penguin,tikzlings
animal,pig,\pig,tikzlings
animal,panda,\panda,tikzlings
animal,bird,\twemoji{bird},
animal,butterfly,\twemoji{butterfly},
animal,chicken,\twemoji{rooster},
animal,cow,\twemoji{cow2},
animal,dog,\twemoji{dog2},
animal,dolphine,\twemoji{dolphine},
animal,elephant,\twemoji{elephant},
animal,fish,\fcFishD,figchild
animal,fox,\twemoji{fox},
animal,giraffe,\fcGiraffeA,figchild
animal,gorilla,\twemoji{gorilla},
animal,horse,\twemoji{racehorse},
animal,kangaroo,\twemoji{kangaroo},
animal,koala,\twemoji{koala},
animal,lady bug,\twemojilady beetele},
animal,lion,\twemoji{lion},
animal,monkey,\fcMonkeyA,figchild
animal,octopus,fcOctopus,figchild
animal,rabbit,\fcRabbit,figchild
animal,rhino,\twemoji{rhinoceros},
animal,seahorse,\fcSeahorse,figchild
animal,shark,\twemoji{shark},
animal,sheep,\twemoji{sheep},
animal,snake,\twemoji{snake},
animal,tiger,\twemoji{tiger2},
animal,turtle,\fcTurtleA,figxhile
animal,whale,\twemoji{spouting whale},
animal,zebra,\twemoji{zebra},
animal,wild boar,,
animal,dragon,,
job,doctor,,
job,dentist,,
job,vet,,
job,nurse,,
job,musician,,
job,announcer,,
job,journalist,,
job,actor,,
job,writer,,
job,artist,,
job,illustrator,,
job,singer,,
job,dancer,,
job,comedian,,
job,carpenter,,
job,pilot,,
job,flight attendant,,
job,firefighter,,
job,baker,,
job,florist,,
job,farmer,,
job,fisherman,,
job,cook,,
job,architect,,
job,lawyer,,
job,politician,,
job,scientist,,
job,engineer,,
job,astronaut,,
job,police officer,,
job,teacher,,
stationary,pen,,
stationary,pencil,,
stationary,eraser,,
stationary,mechanical pencil,,
stationary,ballpoint pen,,
stationary,highlighter,,
stationary,ruler,,
stationary,stapler,,
stationary,scissors,,
